#{"t_start": 1651618962.4922094, "env_id": "cruise-ctrl-v0"}
r,l,t
-9.278269,18,0.008702
-8.323555,6,0.009907
-18.559644,9,0.011567
-8.819157,11,0.013657
-8.946945,10,0.015517
-8.102928,8,0.016977
-8.028508,15,0.019602
-8.124923,7,0.020912
-17.464986,11,0.022934
-9.385281,17,0.45917
-31.125331,101,1.052139
-8.650691,5,1.080883
-9.128115,21,1.2007
-18.803644,13,1.274491
-18.683664,7,1.31578
-18.926306,11,1.378221
-8.362618,6,1.413052
-9.040472,10,1.470229
-18.465593,6,1.504988
-18.668709,10,1.562748
-7.884979,8,1.608985
-17.764012,12,1.678039
-17.799093,101,2.241414
-17.980399,7,2.282407
-21.76597,101,2.845565
-18.837762,14,2.925021
-18.899961,6,2.960234
-8.354913,6,2.995053
-8.433618,7,3.035324
-17.856488,9,3.087345
-8.04937,8,3.133355
-19.026609,10,3.190515
-7.865969,8,3.23684
-9.456369,23,3.367014
-8.172113,8,3.413023
-8.970605,13,3.487053
-8.594707,6,3.52186
-8.93671,7,3.562642
-9.528921,12,3.632223
-8.802171,15,3.717756
-8.16734,11,3.780473
-8.698647,15,3.865518
-18.019619,9,3.917207
-18.071148,6,3.951716
-9.196138,3,3.969178
-7.884371,6,4.004961
-7.604503,7,4.045885
-7.577119,8,4.091634
-7.32557,9,4.144356
-18.957706,23,4.274101
-19.120039,10,4.331491
-19.164529,9,4.383319
-8.507773,5,4.412576
-8.112629,11,4.475649
-9.095077,8,4.523443
-7.535019,7,4.563604
-8.159756,101,5.155488
-8.480337,14,5.236363
-8.674143,10,5.295372
-8.168109,6,5.329763
-8.973885,7,5.373611
-8.799568,6,5.409411
-8.716533,22,5.539701
-8.892913,8,5.643914
-19.912282,24,5.785308
-7.883845,7,5.827296
-8.553292,11,5.89318
-8.264891,8,5.940161
-29.014173,23,6.075951
-8.953871,7,6.117404
-7.565059,9,6.17127
-7.507698,7,6.212278
-8.075402,11,6.276817
-18.351295,12,6.345457
-9.031754,4,6.368282
-8.406918,7,6.40898
-20.821598,22,6.534084
-17.443708,11,6.596868
-19.194275,7,6.638742
-7.854514,14,6.719127
-7.647445,7,6.760244
-8.161838,11,6.824265
-7.697288,7,6.865318
-8.491975,16,6.956748
-20.078081,36,7.162013
-8.426356,9,7.213647
-7.324822,8,7.260221
-18.362181,11,7.323931
-8.483715,10,7.382406
-8.686612,16,7.474987
-14.055963,75,7.899457
-8.408035,10,7.957655
-8.583116,15,8.045307
-19.294874,15,8.1322
-19.08474,10,8.190757
-7.75043,10,8.249415
-18.689104,12,8.320576
-8.350953,8,8.367361
-19.98391,13,8.442892
-19.486122,20,8.557075
-29.474741,29,8.723316
-8.431946,23,8.853951
-26.656673,88,9.361833
-8.199078,6,9.396994
-18.880852,13,9.474277
-8.223246,11,9.542394
-40.894446,101,10.135088
-18.975508,14,10.216694
-7.75253,9,10.26906
-7.474288,101,10.84822
-8.401331,101,11.434515
-8.256732,101,12.012082
-43.620171,75,12.432329
-37.29099,86,12.922752
-8.446238,6,12.957022
-8.355032,6,12.99121
-58.630149,101,13.565611
-7.10044,101,14.143035
-17.903394,12,14.211732
-7.824587,101,14.787907
-6.437407,101,15.362322
-7.454522,101,15.938673
-7.623862,101,16.513873
-6.8044,101,17.090334
-9.50968,101,17.669031
-6.950235,101,18.24894
-8.574704,10,18.305853
-7.665209,101,18.882394
-8.252226,8,18.928218
-6.654033,101,19.505924
-8.189314,101,20.084137
-8.358385,5,20.113069
-7.594121,101,20.690576
-6.315811,101,21.265743
-8.495723,101,21.843377
-8.482851,101,22.418621
-7.065528,101,22.998979
-6.787713,101,23.577243
-17.981747,9,23.628653
-8.14316,101,24.205045
-7.065825,101,24.786776
-7.051824,101,25.366949
-7.529158,101,25.951288
-8.952142,101,26.533158
-6.7186,101,27.110557
-7.727308,101,27.688603
-7.007957,101,28.263944
-9.335912,3,28.281687
-7.602288,101,28.863875
-9.046281,101,29.438547
-7.717221,6,29.47265
-18.644499,8,29.518458
-7.944454,101,30.09234
-7.810242,101,30.669544
-7.957778,101,31.246285
-8.716936,5,31.275658
-7.241673,101,31.850259
-8.003874,101,32.421112
-9.461281,101,32.989367
-8.602737,101,33.563984
-7.811701,101,34.144772
-8.569732,101,34.732824
-6.387735,101,35.314568
-7.850762,101,35.891469
-7.114119,101,36.468783
-7.976861,101,37.045108
-8.043653,101,37.621461
-8.128561,101,38.199717
-7.931322,6,38.234136
-8.63397,101,38.810697
-8.667183,101,39.384778
-8.733701,8,39.431141
-6.239616,101,40.022934
-5.98712,101,40.60627
-8.852057,101,41.192659
-7.182797,101,41.77117
-9.081646,101,42.348761
-7.379229,101,42.926454
-9.641251,101,43.504247
-7.480796,101,44.084211
-8.253188,101,44.663844
-7.048859,101,45.243503
-6.971964,101,45.836839
-7.543027,101,46.420414
-9.355329,101,47.005482
-8.193371,101,47.582898
-8.959374,101,48.159099
-17.575822,9,48.211473
-10.27055,101,48.790702
-8.544216,101,49.368557
-8.081741,5,49.398263
-5.830313,101,49.976502
-8.446068,101,50.554158
-6.393198,101,51.129652
-10.256969,101,51.727112
-7.956268,101,52.312871
-8.875574,3,52.330831
-7.96915,101,52.920274
-7.56646,101,53.49906
-6.523756,101,54.076935
-7.910014,101,54.646288
-6.997459,101,55.229408
-8.646906,3,55.248684
-8.104266,101,55.823723
-6.60162,101,56.398099
-8.918973,3,56.416225
-8.617351,101,56.989383
-8.289796,101,57.57961
-5.814153,101,58.168518
-7.717061,101,58.750801
-8.041786,101,59.319793
-7.442241,101,59.888228
-7.600154,101,60.456863
-7.033234,101,61.034716
-5.97645,101,61.601364
-4.612833,101,62.169011
-6.844754,101,62.747499
-6.16222,101,63.342902
-4.031763,101,63.932352
-7.323927,101,64.510807
-5.235062,101,65.095957
-5.57754,101,65.674591
-4.684084,101,66.252998
-4.2739,101,66.838123
-8.353973,5,66.868357
-5.996477,101,67.44739
-5.397737,101,68.025245
-4.814364,101,68.602845
-5.088137,101,69.199657
-3.235011,101,69.791739
-3.849997,101,70.362984
-4.042948,101,70.94043
-3.265165,101,71.521107
-4.384367,101,72.09706
-3.836,101,72.66625
-4.484866,101,73.241924
-3.187089,101,73.819257
-8.155139,8,73.866084
-2.413535,101,74.440997
-3.957883,101,75.040884
-3.939061,101,75.62615
-3.611209,101,76.202945
-2.928425,101,76.78279
-2.122885,101,77.358865
-2.009813,101,77.93668
-4.052689,101,78.513518
-2.544933,101,79.091106
-2.421619,101,79.667243
-8.243684,4,79.690354
-8.150574,6,79.724786
-2.826625,101,80.317148
-2.082533,101,80.896881
-4.050743,101,81.483362
-17.524844,10,81.540645
-2.643461,101,82.117779
-7.840683,8,82.163363
-3.586736,101,82.750009
-3.505141,101,83.323485
-8.514264,5,83.35196
-2.493945,101,83.927417
-2.753413,101,84.501571
-2.78557,101,85.076421
-2.373916,101,85.651227
-2.631195,101,86.24423
-3.01468,101,86.838394
-2.709032,101,87.423155
-3.746374,101,87.996765
-2.209137,101,88.568486
-3.065117,101,89.149159
-4.025044,101,89.727134
-2.946138,101,90.305746
-3.378569,101,90.88978
-3.118004,101,91.467526
-1.857297,101,92.066041
-1.939789,101,92.663135
-3.200493,101,93.255295
-3.931313,101,93.833799
-1.812098,101,94.410318
-2.711334,101,94.987208
-4.161772,101,95.564499
-3.246147,101,96.138526
-22.837696,101,96.71247
-2.974972,101,97.291156
-3.150233,101,97.889259
-2.880221,101,98.490783
-3.796742,101,99.077119
-3.236238,101,99.655079
-2.499009,101,100.23585
-2.899827,101,100.813776
-2.730702,101,101.393525
-1.627008,101,101.972262
-2.134598,101,102.549218
-1.870732,101,103.126117
-1.839709,101,103.72952
-1.845132,101,104.322751
-2.349769,101,104.905675
-2.13386,101,105.489628
-2.556428,101,106.065478
-1.44286,101,106.641379
-1.590225,101,107.217289
-2.072809,101,107.792573
-0.516417,101,108.366808
-1.395975,101,108.941827
0.131519,101,109.536966
-1.592867,101,110.127513
-8.094407,7,110.168628
-0.909172,101,110.747245
-0.767248,101,111.322319
-0.513582,101,111.900225
-0.499244,101,112.488703
-1.03526,101,113.057861
-0.723184,101,113.626178
-1.311643,101,114.195586
-0.16141,101,114.778306
-0.68294,101,115.368887
-1.336972,101,115.949863
-8.669021,4,115.977148
0.099043,101,116.546585
-0.81156,101,117.115318
-0.544666,101,117.684324
-0.589688,101,118.259287
0.125253,101,118.837003
-0.575318,101,119.404977
-18.153468,6,119.439762
-0.435539,101,120.006966
-0.600881,101,120.58884
-0.043661,101,121.167545
-0.54332,101,121.747606
0.07366,101,122.314411
-0.386773,101,122.880669
-8.463368,7,122.921425
0.397451,101,123.493289
-0.909298,101,124.06212
0.008619,101,124.63006
-8.941348,5,124.659543
0.246106,101,125.227891
-8.903185,4,125.250986
0.2248,101,125.820051
-0.824951,101,126.403275
-0.057187,101,127.030664
0.344253,101,127.620207
-0.307716,101,128.189193
-0.198038,101,128.757325
-9.07632,5,128.786722
-0.239641,101,129.355995
-0.314204,101,129.923947
-0.252093,101,130.492354
-0.275256,101,131.060617
0.030212,101,131.628597
-8.693106,7,131.669296
-0.046774,101,132.266842
-0.952179,101,132.84915
0.861713,101,133.418731
-0.315953,101,133.988575
-0.051134,101,134.556675
0.269658,101,135.125286
0.065506,101,135.694944
0.241337,101,136.263988
0.048441,101,136.833192
0.422499,101,137.401835
-0.32375,101,137.990939
-0.205187,101,138.574657
0.496952,101,139.145052
0.6608,101,139.718537
0.504553,101,140.288392
-0.001492,101,140.856588
0.101659,101,141.425496
0.241636,101,141.994397
1.209551,101,142.565634
0.347039,101,143.136984
0.202661,101,143.729647
0.000522,101,144.315196
-0.173602,101,144.88411
0.807166,101,145.452301
0.60836,101,146.020487
-8.165489,6,146.056059
0.190099,101,146.630719
-7.687567,6,146.666364
0.227108,101,147.236966
0.362095,101,147.811203
0.093475,101,148.378354
0.603407,101,148.962741
-0.327083,101,149.546169
0.667268,101,150.14845
-0.192188,101,150.724
0.419754,101,151.294901
1.277155,101,151.86333
0.325104,101,152.433439
0.142366,101,153.00248
0.488834,101,153.574885
-0.571551,101,154.146659
0.917046,101,154.736914
0.260438,101,155.319107
0.190756,101,155.947641
0.504584,101,156.532411
0.443788,101,157.101985
0.606296,101,157.673436
0.541522,101,158.245123
0.297691,101,158.817277
1.018212,101,159.386897
-7.913131,7,159.428587
0.722581,101,160.0002
0.356814,101,160.583117
-0.515015,101,161.156699
0.489538,101,161.739737
1.880002,101,162.311081
-0.331466,101,162.878475
1.08638,101,163.445916
-0.410149,101,164.014844
-7.785164,9,164.066939
0.487154,101,164.634969
-0.688287,101,165.20546
0.798339,101,165.773048
-9.290918,4,165.796619
0.406842,101,166.380229
0.317462,101,166.957694
0.956643,101,167.530036
-0.008353,101,168.097401
-0.063161,101,168.671054
0.373806,101,169.239806
0.638625,101,169.811882
0.724887,101,170.389242
-0.480942,101,170.96311
0.105633,101,171.533452
-7.728525,7,171.574494
-9.033667,5,171.605466
0.549438,101,172.196428
0.538591,101,172.79598
0.4453,101,173.376434
0.662336,101,173.948396
-0.293881,101,174.517267
0.557738,101,175.085198
0.388016,101,175.653593
-0.026396,101,176.221812
-0.246279,101,176.795457
0.089767,101,177.366362
-0.475424,101,177.961947
-0.095196,101,178.552006
0.326269,101,179.127007
0.614979,101,179.701713
0.510182,101,180.275643
1.165653,101,180.849024
-0.044494,101,181.419944
-8.71437,5,181.450035
-0.124227,101,182.022522
-0.405401,101,182.595018
-8.454312,5,182.625149
0.076746,101,183.215271
0.679803,101,183.79968
0.634701,101,184.382554
0.207341,101,184.953946
0.324446,101,185.523856
0.48353,101,186.092985
-0.49421,101,186.662179
-8.445642,5,186.690974
0.066503,101,187.260812
0.814266,101,187.829022
0.392113,101,188.399592
-0.072562,101,188.98953
0.322217,101,189.567073
-8.515415,7,189.607693
-8.249551,6,189.643922
-0.422743,101,190.222798
0.160556,101,190.791662
0.127302,101,191.362081
-8.235541,8,191.408474
-0.17021,101,191.979328
-0.715622,101,192.549237
-1.100673,101,193.116989
-0.260494,101,193.688575
0.342893,101,194.256681
-0.048648,101,194.828918
-0.471744,101,195.398766
0.717098,101,195.968879
0.63831,101,196.538648
-0.272271,101,197.106726
-8.503162,5,197.135696
1.191017,101,197.707361
-0.010205,101,198.278675
-0.064503,101,198.847436
-0.61803,101,199.420663
0.084599,101,199.988034
0.003295,101,200.55926
0.038756,101,201.125482
-0.002025,101,201.693023
-0.363685,101,202.260572
1.211884,101,202.827994
1.305957,101,203.395593
0.179449,101,203.968042
-0.021654,101,204.536406
0.282394,101,205.10533
0.262764,101,205.672932
0.077026,101,206.244451
-8.415908,7,206.284556
0.592169,101,206.853155
-0.753501,101,207.421237
0.401661,101,207.988414
-0.062146,101,208.55497
-7.751647,5,208.583939
0.0959,101,209.156222
0.344532,101,209.728598
-0.775004,101,210.30098
-0.753108,101,210.868115
0.703572,101,211.439602
0.109841,101,212.007684
0.556423,101,212.575023
-0.340546,101,213.142238
-0.179495,101,213.711026
-0.108319,101,214.27864
-1.028795,101,214.84538
-0.046879,101,215.412409
-0.207782,101,215.979237
-0.114975,101,216.547633
-0.666852,101,217.117817
-0.871123,101,217.684073
1.342188,101,218.250474
-0.003893,101,218.817909
-0.129017,101,219.384702
-0.211154,101,219.956901
0.566874,101,220.52565
0.128308,101,221.098746
0.610653,101,221.667658
0.002338,101,222.233085
1.264948,101,222.802792
0.406126,101,223.372768
0.283053,101,223.940697
0.631525,101,224.513694
0.262297,101,225.083698
0.83204,101,225.651688
0.774518,101,226.219855
1.083888,101,226.789143
-0.20604,101,227.358442
0.506435,101,227.927903
0.418309,101,228.499979
-0.030668,101,229.070053
-7.988966,7,229.11111
-0.438037,101,229.678222
-0.222454,101,230.245065
-18.236606,11,230.307348
-8.937517,6,230.341585
-0.055692,101,230.909348
-0.266134,101,231.478331
-0.294729,101,232.04555
-9.123916,4,232.068266
0.865312,101,232.636466
-0.096954,101,233.205481
-8.017692,8,233.251395
0.531396,101,233.820444
0.223905,101,234.393355
0.772915,101,234.961496
