#{"t_start": 1651388775.5917256, "env_id": "cruise-ctrl-v1"}
r,l,t
-7.381054,9,0.418761
-18.074266,14,0.975721
-16.843528,28,2.103643
-7.924501,5,2.310438
-18.195338,7,2.625286
-17.538729,13,3.157999
-7.388969,11,3.611156
-7.346187,9,4.001188
-7.533705,15,5.10429
-7.524591,13,5.711697
-18.419336,16,6.476733
-7.689693,7,6.796553
-28.067039,17,7.5998
-16.698984,26,8.775088
-16.197573,15,9.492
-17.159975,21,10.460071
-8.593301,4,10.660476
-17.676218,15,11.370964
-7.88436,12,11.924538
-17.565417,11,12.441478
-8.221157,9,12.874827
-18.320916,6,13.183737
-18.636774,7,13.500652
-7.623406,8,13.889406
-7.678574,10,14.35623
-16.666328,12,14.910431
-27.964187,24,16.008114
-7.710676,7,16.336155
-17.369203,14,17.005955
-17.354943,12,17.557313
-17.363242,9,17.996362
-7.727469,10,18.4758
-18.28601,15,19.155248
-7.860596,6,19.461449
-18.339052,11,19.971969
-18.525779,7,20.336301
-7.703078,5,20.570133
-18.116162,8,20.959638
-18.267105,9,21.392068
-7.5245,12,21.931088
-7.746832,10,22.391171
-17.83346,17,23.167381
-18.384388,7,23.511846
-7.998226,7,23.827538
-18.248989,10,24.289497
-7.205013,13,24.902082
-38.516949,18,25.683494
-4.808316,101,30.118578
-17.985365,5,30.348161
-7.705043,6,30.649231
-7.658593,9,31.073048
-17.740935,9,31.496293
-18.808126,7,31.806134
-6.925489,14,32.455757
-17.823961,10,32.917371
-0.271032,101,37.310974
-28.45314,12,37.851566
-7.506509,7,38.193346
-48.301263,14,38.825185
-54.282773,101,43.30244
-17.809077,13,43.924085
-18.155699,12,44.478058
-16.596129,13,45.071157
-7.714345,6,45.379222
-57.246754,21,46.41904
-6.986015,101,50.901357
-47.347376,22,51.868512
-28.230221,27,53.080061
-18.274437,6,53.350261
-8.498964,8,53.736828
2.057681,101,58.218091
-27.551779,14,58.8814
-47.784941,101,63.312977
-3.075662,101,67.85535
1.595128,101,72.475681
-1.870551,101,77.00803
1.378016,101,81.413906
0.360033,101,85.772162
1.661234,101,90.157241
1.603806,101,94.516264
-7.060585,11,95.015831
1.502806,101,99.347337
1.888083,101,103.722789
-17.642788,10,104.192714
2.13036,101,108.527004
-7.73518,7,108.874962
1.911648,101,113.206205
1.699784,101,117.546012
1.361063,101,121.87524
-7.21479,7,122.213515
1.311071,101,126.52359
2.299927,101,130.888118
1.864128,101,135.281269
2.58655,101,139.605328
1.730143,101,143.976433
1.532195,101,148.29027
2.144366,101,152.61636
2.011721,101,156.935453
2.613612,101,161.294376
1.171617,101,165.619726
2.246559,101,169.972197
1.757841,101,174.306575
2.489547,101,178.758821
1.946332,101,183.216848
2.060256,101,187.655103
2.137794,101,192.147038
1.101264,101,196.65491
1.871821,101,201.152699
2.193042,101,205.654681
-8.189318,6,205.965112
2.018182,101,210.449235
-17.350607,11,210.982212
2.294604,101,215.542727
1.047718,101,220.008193
1.256323,101,224.520727
1.142991,101,228.968532
2.935822,101,233.433463
2.086509,101,237.861343
2.073925,101,242.333592
1.896027,101,246.812531
1.192357,101,251.25028
1.954228,101,255.668905
1.369544,101,260.097579
1.667595,101,264.577399
1.62687,101,269.16134
3.054027,101,273.660976
2.0631,101,278.250273
1.515176,101,282.936643
2.317115,101,287.534909
2.665264,101,292.080228
2.318032,101,296.628871
2.034808,101,301.140608
2.553998,101,305.643405
2.185856,101,310.196572
