#{"t_start": 1651395587.507558, "env_id": "cruise-ctrl-v0"}
r,l,t
-8.199216,11,0.038661
-18.448695,6,0.040145
-8.562838,7,0.041807
-7.914955,10,0.04373
-19.097088,27,0.048745
-9.603754,8,0.050345
-18.666861,7,0.051736
-19.531281,13,0.054183
-8.648058,8,0.055808
-8.723997,13,428.674221
-18.293606,10,428.741012
-18.414578,12,428.812181
-8.870209,5,428.842565
-19.374695,8,428.891583
-19.874442,17,428.993751
-19.412177,13,429.071524
-9.092748,6,429.107329
-18.607055,10,429.167486
-8.287459,10,429.228834
-20.013525,30,429.405062
-8.477263,9,429.460093
-19.970607,27,429.623153
-9.602184,6,429.65917
-8.235597,9,429.717788
-8.499886,6,429.756628
-18.577466,13,429.833354
-29.369963,101,430.423295
-19.104531,6,430.458311
-18.96415,19,430.567525
-8.238753,11,430.630931
-8.702246,10,430.688947
-8.448577,9,430.743045
-18.327691,10,430.801363
-19.023959,14,430.884051
-132.795499,46,431.151805
-21.972882,45,431.410906
-8.516472,9,431.464567
-18.664135,18,431.572164
-8.564061,14,431.658101
-8.380861,11,431.721816
-9.187304,7,431.762745
-19.146592,13,431.837349
-18.903033,9,431.889416
-19.782667,23,432.026694
-8.503274,8,432.076256
-9.196825,5,432.10673
-18.131532,11,432.172427
-8.472036,10,432.230884
-19.097958,14,432.315469
-19.412326,22,432.445171
-18.674254,8,432.492154
-8.427494,9,432.544268
-20.026725,19,432.654432
-11.784651,101,433.232487
-29.46784,12,433.302244
-105.876835,101,433.877579
-8.286251,8,434.049585
-19.040296,9,434.109419
-19.396731,10,434.174668
-18.818347,6,434.214279
-60.724415,39,434.463196
-21.809498,50,434.775691
-19.366881,14,434.860074
-18.403924,7,434.902173
-19.465,101,435.501444
-18.528358,9,435.555174
-19.147971,11,435.62125
-21.693213,101,436.212145
-30.435021,101,436.796056
-7.651536,101,437.378646
-7.35054,101,437.959139
-17.280497,101,438.54482
-12.814956,101,439.129328
-8.271005,7,439.170812
-7.763509,101,439.754241
-7.8301,101,440.343391
-8.474575,101,440.92832
-7.883113,101,441.511866
-7.5924,101,442.095793
-7.843116,8,442.143281
-7.572477,101,442.731458
-9.282235,101,443.312458
-8.237443,101,443.892072
-8.650209,101,444.468803
-10.622151,101,445.049216
-8.654421,101,445.628366
-7.551177,101,446.231448
-8.943929,101,446.829299
-18.473393,11,446.89509
-9.240252,101,447.478418
-9.415559,101,448.057367
-7.891032,101,448.633523
-8.628204,6,448.669509
-9.072516,101,449.247451
-8.221235,101,449.824575
-7.322427,101,450.403694
-7.747538,101,450.98112
-6.420957,101,451.572604
-8.053659,101,452.159719
-7.336319,101,452.765091
-6.903257,101,453.350221
-6.527025,101,453.926877
-7.966706,101,454.508346
-8.15515,101,455.086519
-6.028964,101,455.662537
-7.141546,101,456.239801
-6.949373,101,456.815453
-6.260113,101,457.406211
-8.800144,6,457.441668
-7.951954,101,458.039461
-7.713584,101,458.636341
-6.061115,101,459.223611
-7.113318,101,459.805365
-7.592768,101,460.385114
-6.125317,101,460.967996
-8.504368,101,461.551524
-7.105813,101,462.132427
-7.187932,101,462.707114
