#{"t_start": 1651386652.2053783, "env_id": "cruise-ctrl-v0"}
r,l,t
-7.768401,7,0.008209
-18.233669,6,0.009554
-6.22847,101,0.483088
-16.971345,26,0.650954
-8.356257,7,0.693201
-8.772944,7,0.73499
-18.266616,14,0.819756
-7.634283,6,0.854851
-17.486857,12,0.926718
-17.676419,13,1.004255
-7.42592,8,1.053269
-17.707949,10,1.115741
-7.223527,10,1.175797
-17.701617,10,1.234191
-8.455955,5,1.264125
-18.123889,13,1.340263
-17.127321,23,1.475457
-9.108148,9,1.531699
-0.393736,101,2.119955
-17.750062,32,2.303778
-7.224722,8,2.350317
-17.877097,6,2.385353
-17.547568,10,2.442651
-7.670772,9,2.493881
-17.49249,12,2.562267
-87.334036,92,3.077327
-8.076101,8,3.124702
-17.293831,13,3.199761
-16.839646,37,3.412736
-8.506173,7,3.453658
-19.039556,101,4.033442
-7.95688,101,4.60994
-7.823877,8,4.658419
-17.339311,9,4.711295
-7.323932,12,4.781866
-16.538784,14,4.863021
-17.556727,10,4.924428
-18.03031,7,4.965695
-6.660371,8,5.012588
-18.031856,9,5.069681
-27.454723,37,5.283919
-18.433175,5,5.313563
-7.461332,8,5.362476
-37.111465,22,5.489485
-17.56795,13,5.566395
-7.355454,10,5.625678
-8.215246,8,5.730092
-27.795736,18,5.835441
-8.686794,6,5.870828
-8.07253,6,5.906731
-17.811352,13,5.984828
-18.308728,6,6.021073
-18.537952,10,6.081394
-18.365983,16,6.17971
-26.841197,40,6.417397
-7.531622,13,6.499212
-7.357566,9,6.555878
-27.947131,18,6.66459
-27.562704,60,7.022281
-57.950984,28,7.192015
-18.188932,13,7.271545
-6.98051,8,7.319838
-57.418581,37,7.539004
-27.741684,19,7.651608
-7.462202,10,7.710972
-8.132766,5,7.741003
-18.094559,7,7.782527
-18.414879,8,7.830287
-27.828866,27,7.98969
-18.019669,13,8.06675
-3.438787,101,8.672998
-17.282117,12,8.745348
-27.625748,18,8.853523
0.713406,101,9.445698
-17.653547,101,10.039943
-10.403002,101,10.636791
-10.399458,101,11.226884
-8.361677,101,11.824749
-5.366827,101,12.416264
-8.424119,101,13.032675
0.495142,101,13.631884
-17.526587,12,13.702589
-17.716174,7,13.746639
1.647421,101,14.328186
1.643567,101,14.911451
2.066966,101,15.507676
2.207451,101,16.099373
1.550516,101,16.694535
1.179409,101,17.316065
-8.419908,5,17.34776
0.862202,101,17.962491
2.613165,101,18.564286
2.350736,101,19.162697
1.760425,101,19.809903
2.838536,101,20.369459
-7.795994,9,20.420422
2.299001,101,21.013225
2.436349,101,21.647576
2.502061,101,22.250668
-18.581543,6,22.288934
2.589719,101,22.87831
-18.016182,8,22.926701
2.038448,101,23.527066
2.170432,101,24.164223
-18.157759,9,24.222413
-18.666182,5,24.253331
-8.317553,5,24.284693
2.274261,101,24.899675
1.934306,101,25.492652
1.767526,101,26.084012
-8.177613,5,26.116019
2.28156,101,26.714959
3.02998,101,27.308636
3.097136,101,27.908449
1.799174,101,28.50185
2.326732,101,29.087676
2.097038,101,29.695049
2.511456,101,30.289914
-7.22464,8,30.337486
1.755659,101,30.927026
-7.590829,9,30.980201
2.021567,101,31.557006
2.699762,101,32.1358
1.140487,101,32.741819
2.657301,101,33.33068
1.710912,101,33.924513
-7.833371,6,33.960729
1.501885,101,34.543511
-7.600806,7,34.58499
2.257526,101,35.177342
1.626214,101,35.775959
2.408711,101,36.382224
1.209479,101,36.979086
1.972482,101,37.560437
1.907489,101,38.160802
