#{"t_start": 1651387311.3162405, "env_id": "cruise-ctrl-v0"}
r,l,t
-17.308206,15,0.009401
-8.234728,6,0.011012
-8.567965,7,0.012838
-17.004028,22,0.01814
-17.58675,14,0.021647
-18.070992,9,0.023925
-7.38288,15,0.027594
-36.919784,101,0.986097
-17.386969,11,1.052906
-10.011193,101,1.644774
-18.449236,13,1.724653
-8.9715,4,1.748375
-17.875959,10,1.809455
-17.841672,12,1.879987
-17.716302,23,2.013906
-16.057565,15,2.100658
-17.798406,12,2.170594
-7.91609,6,2.206106
-7.728489,10,2.268355
-17.344304,15,2.357844
-18.025699,6,2.393263
-17.577631,12,2.464383
-17.228291,16,2.558872
-18.911565,5,2.587703
-18.211008,14,2.670447
-8.325102,9,2.722867
-17.938591,17,2.822288
-7.434572,12,2.892783
-7.997021,7,2.93359
-7.79588,6,2.970173
-17.752124,6,3.005008
-7.434883,9,3.058652
-17.676297,24,3.198433
-17.973985,17,3.299024
-18.181413,6,3.335503
-17.657587,8,3.3823
-27.992431,16,3.476105
-18.656486,7,3.517028
-16.99226,29,3.687048
-7.226938,20,3.804047
-17.028772,13,3.883975
-13.185955,101,4.460602
-66.509204,43,4.705999
-8.28148,6,4.743978
-28.560905,12,4.821549
-16.936073,15,4.912654
-8.047472,12,4.981716
-18.105383,8,5.028397
-18.161199,10,5.087551
-17.50378,12,5.157489
-27.683085,88,5.680559
-27.884832,37,5.968886
-17.68414,15,6.065353
-8.353863,5,6.097899
-47.578134,101,6.700405
-18.136491,9,6.753629
-7.850721,10,6.813756
-27.163873,25,6.960049
-18.223257,6,6.995291
-17.778684,13,7.074655
-7.682386,11,7.137713
-8.362105,7,7.177917
-18.177272,15,7.263442
-8.006617,6,7.29752
-7.269069,15,7.381644
-15.589991,101,7.946663
-17.433283,9,7.998301
-27.214737,21,8.116047
-18.257488,6,8.151681
-16.542957,16,8.241826
-18.538697,5,8.270212
-18.519222,9,8.321882
-17.775089,12,8.391226
-6.670181,101,8.958225
-27.899895,19,9.06442
-18.088906,9,9.115991
-17.998592,10,9.17421
-18.301835,10,9.231348
-7.293187,8,9.277255
-0.83017,101,9.840093
-8.751951,4,9.863789
-58.134377,101,10.430766
1.283945,101,10.993567
-18.333397,10,11.051416
0.82251,101,11.619026
1.747758,101,12.181159
-7.689738,11,12.244134
1.310254,101,12.808818
2.358963,101,13.372015
-7.883358,9,13.424258
-8.494392,6,13.459021
2.010459,101,14.021991
0.956395,101,14.585522
2.205518,101,15.15193
1.821271,101,15.704325
1.044365,101,16.290709
-8.309279,5,16.320086
2.165335,101,16.902287
1.899648,101,17.498134
2.4899,101,18.091823
2.974719,101,18.675668
-18.452632,6,18.709883
3.154804,101,19.283161
1.771406,101,19.859522
1.375966,101,20.437861
1.507303,101,21.019461
0.950406,101,21.592505
1.831715,101,22.170636
2.321682,101,22.738987
2.193536,101,23.328115
2.520444,101,23.934163
2.352753,101,24.49789
2.236181,101,25.066367
1.539557,101,25.62901
1.957875,101,26.185041
2.609951,101,26.745112
1.186519,101,27.301396
1.343096,101,27.852713
1.918456,101,28.404103
2.357527,101,28.97788
2.094127,101,29.564343
-8.37002,6,29.599611
2.044551,101,30.158636
2.433223,101,30.717563
2.151913,101,31.2763
1.352771,101,31.836477
2.791774,101,32.395803
1.972926,101,32.952956
2.789388,101,33.507826
2.322991,101,34.071381
2.171227,101,34.652609
1.824883,101,35.243042
2.11639,101,35.819643
1.136229,101,36.37563
-8.036207,8,36.420164
-17.230071,12,36.487252
1.953187,101,37.049631
2.942498,101,37.611258
2.718711,101,38.168171
2.62477,101,38.730873
2.496235,101,39.293667
3.089647,101,39.872665
1.891439,101,40.446569
2.157958,101,41.023537
2.666137,101,41.588665
3.093964,101,42.156425
1.554709,101,42.72228
2.54136,101,43.294123
1.530459,101,43.859907
1.466107,101,44.422786
-8.790149,4,44.446145
2.466319,101,45.020911
1.328731,101,45.611008
1.410668,101,46.192127
2.244587,101,46.780857
-7.98041,6,46.816407
2.546043,101,47.382521
2.652802,101,47.948843
2.792923,101,48.518834
2.297177,101,49.089002
1.566243,101,49.660219
2.107281,101,50.244513
1.756724,101,50.81277
-18.51913,5,50.842414
2.543021,101,51.431481
2.301175,101,52.01728
2.124392,101,52.58522
2.656206,101,53.152357
1.626074,101,53.719374
2.676987,101,54.286032
2.188376,101,54.850658
3.648049,101,55.413935
2.246793,101,55.983367
1.935197,101,56.546947
2.448969,101,57.127733
3.258944,101,57.708994
2.62312,101,58.280697
1.723418,101,58.848197
-8.553946,6,58.883403
2.371204,101,59.450008
2.729917,101,60.028349
1.612847,101,60.588799
1.669538,101,61.158747
2.611173,101,61.72653
2.753294,101,62.295201
2.513272,101,62.881707
2.652728,101,63.4571
1.474434,101,64.024736
1.891694,101,64.58929
1.953725,101,65.144432
2.426655,101,65.699683
2.181965,101,66.25364
2.210588,101,66.807096
-8.033278,6,66.841578
1.827435,101,67.421919
2.049976,101,68.047942
1.583672,101,68.627134
1.902237,101,69.204529
1.403797,101,69.771677
1.787133,101,70.335588
1.903041,101,70.962941
2.090463,101,71.62922
0.442827,101,72.279135
1.552927,101,72.931936
1.070388,101,73.578774
-7.649863,8,73.62766
1.51417,101,74.198922
2.166424,101,74.770818
1.528378,101,75.351287
-8.075246,7,75.391884
1.999176,101,75.967063
1.403736,101,76.564919
1.766384,101,77.134702
2.064841,101,77.699742
1.867656,101,78.26316
1.600746,101,78.836034
1.845346,101,79.411717
2.053914,101,79.98855
0.982626,101,80.553973
0.653827,101,81.126332
2.345196,101,81.696904
2.046467,101,82.262626
1.822391,101,82.836143
1.658702,101,83.408047
2.02251,101,83.977851
1.331432,101,84.563558
2.042317,101,85.131237
2.563705,101,85.700572
2.115614,101,86.267238
2.189655,101,86.834467
1.946403,101,87.400728
2.115787,101,87.977248
1.737221,101,88.540849
1.981643,101,89.119396
2.178549,101,89.689794
2.132087,101,90.260176
1.6924,101,90.838743
2.114821,101,91.430265
2.432794,101,92.021155
-7.69901,6,92.056806
2.357017,101,92.623919
-8.621831,4,92.647848
1.827393,101,93.226231
2.654694,101,93.804515
1.800068,101,94.373613
2.445282,101,94.934658
2.322324,101,95.511064
1.880964,101,96.083979
